STATE_NAME,DISTRICT_NAME,PMGSY_SCHEME,NO_OF_ROAD_WORK_SANCTIONED,LENGTH_OF_ROAD_WORK_SANCTIONED,NO_OF_BRIDGES_SANCTIONED,COST_OF_WORKS_SANCTIONED,NO_OF_ROAD_WORKS_COMPLETED,LENGTH_OF_ROAD_WORK_COMPLETED,NO_OF_BRIDGES_COMPLETED,EXPENDITURE_OCCURED,NO_OF_ROAD_WORKS_ BALANCE,LENGTH_OF_ROAD_WORK_BALANCE,NO_OF_BRIDGES_BALANCE
Andaman And Nicobar,Nicobar,PMGSY-I,3,2.969,0,1.3857,3,2.969,0,1.1082,0,0,0
Andaman And Nicobar,North and Middle Andaman,PMGSY-I,32,60.169,0,24.6908,32,59.19,0,18.5754,0,0,0
Andaman And Nicobar,North and Middle Andaman,PMGSY-II,24,54.67,0,27.7646,0,0,0,0,24,54.67,0
Andaman And Nicobar,South Andaman,PMGSY-I,32,40.146,0,18.5375,31,39.287,0,11.6894,1,0.541,0
Andaman And Nicobar,South Andaman,PMGSY-II,24,41.992,0,23.42439,7,17.747,0,8.6343,17,24.033,0
Andhra Pradesh,Anantapur,PMGSY-I,619,2169.505,35,526.1277,619,2126.386,34,517.912,0,0,1
Andhra Pradesh,Anantapur,PMGSY-II,14,125.7,0,56.0711,14,124.619,0,49.0126,0,0,0
Andhra Pradesh,Anantapur,PMGSY-III,27,267.158,8,180.52038,24,234.902,0,111.5182,3,23.2,8
Andhra Pradesh,Chittoor,PMGSY-I,283,889.681,6,188.3558,283,878.711,6,185.1493,0,0,0
Andhra Pradesh,Chittoor,PMGSY-II,18,126.045,0,57.9668,18,121.403,0,46.136,0,0,0
Andhra Pradesh,Chittoor,PMGSY-III,84,629.581,8,421.61578,68,476.394,0,193.0005,16,139.86,8
Andhra Pradesh,East Godavari,PMGSY-I,502,1402.046,20,341.4412,500,1308.782,17,322.73,2,13.7,3
Andhra Pradesh,East Godavari,PMGSY-II,18,123.049,0,61.7925,18,116.296,0,49.7726,0,0,0
Andhra Pradesh,East Godavari,RCPLWEA,26,340.896,10,249.85163,17,213.208,7,157.9498,9,123.276,3
Andhra Pradesh,East Godavari,PMGSY-III,27,183.925,2,105.33909,15,93.242,1,49.8617,12,87.78,1
Andhra Pradesh,East Godavari,PM-JANMAN,11,29.48,0,,0,0,0,0,11,29.48,0
Andhra Pradesh,Guntur,PMGSY-I,329,996.013,13,236.5601,329,1000.144,13,242.894,0,0,0
Andhra Pradesh,Guntur,PMGSY-II,13,141.44,1,78.0672,13,141.428,1,69.7068,0,0,0
Andhra Pradesh,Guntur,PMGSY-III,34,223.804,10,246.73719,17,104.817,0,67.7782,17,115.164,10
Andhra Pradesh,Krishna,PMGSY-I,286,689.37,9,157.6581,286,671.76,9,155.7358,0,0,0
Andhra Pradesh,Krishna,PMGSY-II,14,112.79,0,74.989,14,110.499,0,64.8999,0,0,0
Andhra Pradesh,Krishna,PMGSY-III,28,174.92,10,170.50895,11,80.703,0,49.6143,17,90.375,10
Andhra Pradesh,Kurnool,PMGSY-I,253,840.09,36,230.0254,253,785.4,36,180.9049,0,0,0
Andhra Pradesh,Kurnool,PMGSY-II,14,120.59,1,61.1501,14,118.643,1,55.6977,0,0,0
Andhra Pradesh,Kurnool,PMGSY-III,23,216.543,3,134.5823,19,173.057,1,96.2975,4,34.12,2
Andhra Pradesh,Kurnool,PM-JANMAN,1,7.11,0,,0,0,0,0,1,7.11,0
Andhra Pradesh,Nellore,PMGSY-I,241,854.399,41,224.9583,241,815.363,41,211.991,0,0,0
Andhra Pradesh,Nellore,PMGSY-II,8,72.4,0,38.916,8,66.902,0,30.7229,0,0,0
Andhra Pradesh,Nellore,PMGSY-III,21,199.53,3,145.44364,13,108.534,0,65.1818,8,86.559,3
Andhra Pradesh,Prakasam,PMGSY-I,231,986.07,45,311.795,231,946.537,45,302.8168,0,0,0
Andhra Pradesh,Prakasam,PMGSY-II,15,102.454,0,51.0679,15,98.705,0,44.7678,0,0,0
Andhra Pradesh,Prakasam,PMGSY-III,22,198.229,4,139.38,17,149.047,0,82.4026,5,45.02,4
Andhra Pradesh,Srikakulam,PMGSY-I,272,754.95,8,168.6459,272,751.936,8,165.3012,0,0,0
Andhra Pradesh,Srikakulam,PMGSY-II,10,85.49,0,42.3294,10,81.094,0,32.2526,0,0,0
Andhra Pradesh,Srikakulam,RCPLWEA,29,190.885,1,152.0249,23,168.583,1,131.1264,6,18.416,0
Andhra Pradesh,Srikakulam,PMGSY-III,20,149.365,10,149.67448,19,139.711,0,78.6296,1,4.8,10
Andhra Pradesh,Srikakulam,PM-JANMAN,9,17.58,0,,0,0,0,0,9,17.58,0
Andhra Pradesh,Visakhapatnam,PMGSY-I,590,1970.635,15,815.3598,587,1867.92,15,742.676,3,10.64,0
Andhra Pradesh,Visakhapatnam,PMGSY-II,5,34.62,0,21.309,5,31.291,0,16.1277,0,0,0
Andhra Pradesh,Visakhapatnam,RCPLWEA,101,763.459,24,589.9801,85,586.861,11,332.0842,16,160.334,13
Andhra Pradesh,Visakhapatnam,PMGSY-III,18,134.545,5,81.59809,17,117.224,0,54.0838,1,11.2,5
Andhra Pradesh,Visakhapatnam,PM-JANMAN,85,189,0,,0,0,0,0,85,189,0
Andhra Pradesh,Vizianagaram,PMGSY-I,256,761.67,6,218.2355,248,708.635,5,209.4114,8,40.493,1
Andhra Pradesh,Vizianagaram,PMGSY-II,12,82.54,0,46.135,12,81.89,0,37.7859,0,0,0
Andhra Pradesh,Vizianagaram,RCPLWEA,38,262.745,10,256.10564,27,193.205,5,189.3058,11,64.346,5
Andhra Pradesh,Vizianagaram,PMGSY-III,25,187.093,1,111.4704,19,127.351,0,68.6738,6,52.839,1
Andhra Pradesh,Vizianagaram,PM-JANMAN,19,50.37,0,,0,0,0,0,19,50.37,0
Andhra Pradesh,West Godavari,PMGSY-I,331,697.287,9,174.1576,331,685.052,9,158.4739,0,0,0
Andhra Pradesh,West Godavari,PMGSY-II,20,119.865,0,65.3566,20,117.996,0,52.7806,0,0,0
Andhra Pradesh,West Godavari,PMGSY-III,19,139.199,1,104.041,9,56.33,0,30.6373,10,80.631,1
Andhra Pradesh,West Godavari,PM-JANMAN,5,21.998,0,,0,0,0,0,5,21.998,0
Andhra Pradesh,Y S R Kadapa,PMGSY-I,245,756.38,11,191.3747,245,720.568,10,178.7158,0,0,1
Andhra Pradesh,Y S R Kadapa,PMGSY-II,13,83.97,0,37.2073,13,79.655,0,37.1865,0,0,0
Andhra Pradesh,Y S R Kadapa,PMGSY-III,65,520.911,9,342.2581,26,190.076,0,101.1192,39,320.929,9
Arunachal Pradesh,Anjaw,PMGSY-I,26,354.135,9,292.5651,19,291.455,2,237.3344,7,62.68,7
Arunachal Pradesh,Changlang,PMGSY-I,100,949.981,28,534.7094,99,937.846,28,524.7029,1,10.52,0
Arunachal Pradesh,Changlang,PMGSY-II,1,3.7,0,3.5192,1,3.7,0,3.4336,0,0,0
Arunachal Pradesh,Changlang,PMGSY-III,1,6.3,0,4.614,0,0,0,0,1,6.3,0
Arunachal Pradesh,Dibang Valley,PMGSY-I,16,201.68,0,203.992,12,173.88,0,156.3108,4,27.8,0
Arunachal Pradesh,Dibang Valley,PMGSY-II,9,51.81,0,46.95383,9,51.81,0,46.6464,0,0,0
Arunachal Pradesh,Dibang Valley,PMGSY-III,2,20.1,0,18.9373,0,0,0,0,2,20.1,0
Arunachal Pradesh,East Kameng,PMGSY-I,113,1903.87,16,1286.0398,97,1745.99,15,1211.4884,16,150.33,1
Arunachal Pradesh,East Kameng,PMGSY-III,3,16.9,0,14.4234,0,0,0,6.4385,3,16.9,0
Arunachal Pradesh,East Siang,PMGSY-I,23,51.925,1,25.3767,23,51.925,1,24.9895,0,0,0
Arunachal Pradesh,East Siang,PMGSY-II,3,17.51,0,7.812,3,17.51,0,7.9531,0,0,0
Arunachal Pradesh,East Siang,PMGSY-III,6,38.1,2,31.727,0,0,0,0,6,38.1,2
Arunachal Pradesh,Kamale,PMGSY-I,24,307.16,5,212.0949,24,310.66,5,212.4258,0,0,0
Arunachal Pradesh,Kamale,PMGSY-II,3,29.5,0,28.0793,3,29,0,28.2116,0,0,0
Arunachal Pradesh,Kamale,PMGSY-III,2,12.3,0,9.3786,0,0,0,0,2,12.3,0
Arunachal Pradesh,Kra Daadi,PMGSY-I,49,1149.142,18,926.1711,42,995.13,11,881.3967,7,149.762,7
Arunachal Pradesh,Kra Daadi,PMGSY-II,2,11,0,10.6034,2,11,0,11.3703,0,0,0
Arunachal Pradesh,Kra Daadi,PMGSY-III,2,14,0,12.1405,0,0,0,0,2,14,0
Arunachal Pradesh,Kurung Kumey,PMGSY-I,60,963.789,29,900.1091,48,859.499,22,824.8247,12,107.22,7
Arunachal Pradesh,Kurung Kumey,PMGSY-II,2,62,0,50.62418,1,38,0,39.9284,1,24,0
Arunachal Pradesh,Kurung Kumey,PMGSY-III,2,15,1,14.3856,0,0,0,0,2,15,1
Arunachal Pradesh,Lepa Rada,PMGSY-I,27,172.85,1,103.1735,27,171.339,1,95.712,0,0,0
Arunachal Pradesh,Lepa Rada,PMGSY-II,6,21.5,0,20.5254,6,21.3,0,18.9872,0,0,0
Arunachal Pradesh,Lepa Rada,PMGSY-III,2,23.8,0,23.3955,0,0,0,3.0005,2,23.8,0
Arunachal Pradesh,Lohit,PMGSY-I,14,48.9,0,12.5042,14,49.13,0,12.2983,0,0,0
Arunachal Pradesh,Lohit,PMGSY-II,2,15.64,0,9.0112,2,15.64,0,7.7549,0,0,0
Arunachal Pradesh,Lohit,PMGSY-III,3,19.76,1,32.7835,0,0,0,2.0094,3,19.76,1
Arunachal Pradesh,Longding,PMGSY-I,70,632.946,0,365.2963,69,632.609,0,363.9976,1,0.2,0
Arunachal Pradesh,Longding,PMGSY-II,3,13.7,0,13.372,3,13.7,0,11.7885,0,0,0
Arunachal Pradesh,Longding,PMGSY-III,15,130.87,0,122.5763,0,0,0,40.6869,15,130.87,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-I,29,171.48,4,104.4418,29,171.48,4,97.4866,0,0,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-II,4,18,0,8.82247,4,18,0,7.9,0,0,0
Arunachal Pradesh,Lower Dibang Valley,PMGSY-III,2,10.95,0,6.9559,0,0,0,0,2,10.95,0
Arunachal Pradesh,Lower Siang,PMGSY-I,44,276.1,18,242.9949,44,266.99,18,243.2234,0,0,0
Arunachal Pradesh,Lower Siang,PMGSY-II,3,7.56,0,3.2261,3,7.56,0,3.0301,0,0,0
Arunachal Pradesh,Lower Siang,PMGSY-III,4,67.432,11,100.7177,0,0,0,11.4647,4,67.432,11
Arunachal Pradesh,Lower Subansiri,PMGSY-I,47,423.66,5,271.7823,47,418.505,5,265.8233,0,0,0
Arunachal Pradesh,Lower Subansiri,PMGSY-II,5,28.14,0,30.5272,5,28.14,0,30.1846,0,0,0
Arunachal Pradesh,Lower Subansiri,PMGSY-III,10,73.17,2,69.2253,0,0,0,34.9301,10,73.17,2
Arunachal Pradesh,Namsai,PMGSY-I,39,209.16,1,97.9754,39,209.16,1,95.7677,0,0,0
Arunachal Pradesh,Namsai,PMGSY-II,6,20.17,0,7.8604,6,20.17,0,7.5789,0,0,0
Arunachal Pradesh,Namsai,PMGSY-III,5,26.01,1,20.3492,0,0,0,0,5,26.01,1
Arunachal Pradesh,Pakke kessang,PMGSY-I,16,184.28,3,123.1649,16,184.28,3,120.0708,0,0,0
Arunachal Pradesh,Pakke kessang,PMGSY-II,1,15.6,0,8.6733,1,15.6,0,7.7458,0,0,0
Arunachal Pradesh,Pakke kessang,PMGSY-III,1,6.85,0,5.5126,0,0,0,0,1,6.85,0
Arunachal Pradesh,Papum Pare,PMGSY-I,86,761.99,26,634.5073,86,755.51,26,661.8832,0,0,0
Arunachal Pradesh,Papum Pare,PMGSY-II,6,73.13,6,106.784,6,69.02,6,98.8974,0,0,0
Arunachal Pradesh,Papum Pare,PMGSY-III,3,46.52,6,78.0795,0,1,0,12.0741,3,45.52,6
Arunachal Pradesh,Shi Yomi,PMGSY-I,24,218.71,2,195.3334,22,169.12,1,150.93,2,49.59,1
Arunachal Pradesh,Shi Yomi,PMGSY-II,1,7.18,0,3.7164,1,5.295,0,3.0357,0,0,0
Arunachal Pradesh,Siang,PMGSY-I,57,467.5,1,305.1432,56,442.27,1,283.3656,1,28.1,0
Arunachal Pradesh,Siang,PMGSY-II,2,28.22,0,22.8833,2,28.22,0,21.6507,0,0,0
Arunachal Pradesh,Siang,PMGSY-III,1,4.3,0,4.1258,0,0,0,0,1,4.3,0
Arunachal Pradesh,Tawang,PMGSY-I,59,608.374,5,454.0604,59,602.472,5,481.8618,0,0,0
Arunachal Pradesh,Tawang,PMGSY-II,7,36.89,0,22.4746,7,36.771,0,22.9339,0,0,0
Arunachal Pradesh,Tawang,PMGSY-III,5,29.12,0,30.5956,0,0,0,0,5,29.12,0
Arunachal Pradesh,Tirap,PMGSY-I,91,577.61,5,303.2083,90,572.34,5,301.5282,1,2.75,0
Arunachal Pradesh,Tirap,PMGSY-II,2,11,0,8.2416,2,11,0,7.8375,0,0,0
Arunachal Pradesh,Tirap,PMGSY-III,4,39.91,0,32.6122,0,0,0,0,4,39.91,0
Arunachal Pradesh,Upper Siang,PMGSY-I,45,547.941,17,412.68226,42,503.795,11,383.8929,3,38.951,6
Arunachal Pradesh,Upper Siang,PMGSY-II,2,11.02,0,4.8324,2,11.02,0,4.875,0,0,0
